==========================================
Batch:   pushtWidowXdpCam1
Tag:     003
Node:    d14-17
JobId:   10553489
Start:   Fri Jul 24 15:21:09 PDT 2026
==========================================
Dataset:    /home1/halbertb/Q3CIBC/data/pusht_widowx_data.zip  (format=zarr_video)
Seed:       11   tag=e03_conv_s11
Pred type:  v
Idle filter:drop_zero (eps=0.0)
Config:     /home1/halbertb/Q3CIBC/checkpoints/pusht_real_dp/e03_conv_s11/config.json
Checkpoints:/home1/halbertb/Q3CIBC/checkpoints/pusht_real_dp/e03_conv_s11
PushTWidowXVideoDataset: 150 episodes, 72988 frames, cameras=[1], frame_stack=2, action_chunk=1, action_shape=2, state_shape=(6, 240, 320), raw action range=[-0.008 -0.008] -> [0.008 0.008]
  split=train (15/150 episodes held out); idle_filter='drop_zero' -> 49981/72988 transitions kept (68.5%); zero-action share now 0.0%
PushTWidowXVideoDataset: 150 episodes, 72988 frames, cameras=[1], frame_stack=2, action_chunk=1, action_shape=2, state_shape=(6, 240, 320), raw action range=[-0.008 -0.008] -> [0.008 0.008]
  split=val (15/150 episodes held out); idle_filter='drop_zero' -> 5440/72988 transitions kept (7.5%); zero-action share now 0.0%
Held-out val: 5440 samples (10% of episodes, seed 0)
PixelDiffusionDenoiser (conv_maxpool x1cam + DenseResnet 1024x1, v-pred): 2,428,578 params
Training 750000 steps: batch=128, lr=0.0003 (cosine -> 1e-06), T=100 cosine, EMA 0.999
  Step 500/750000 | Loss: 0.475731 | LR: 3.00e-04 | 551.8s
  Step 1000/750000 | Loss: 0.400973 | LR: 3.00e-04 | 657.1s
  Step 1500/750000 | Loss: 0.380384 | LR: 3.00e-04 | 762.0s
  Step 2000/750000 | Loss: 0.369537 | LR: 3.00e-04 | 866.4s
  Step 2500/750000 | Loss: 0.357546 | LR: 3.00e-04 | 970.0s
  Step 3000/750000 | Loss: 0.346022 | LR: 3.00e-04 | 1074.2s
  Step 3500/750000 | Loss: 0.336325 | LR: 3.00e-04 | 1178.4s
  Step 4000/750000 | Loss: 0.334528 | LR: 3.00e-04 | 1281.6s
  Step 4500/750000 | Loss: 0.328730 | LR: 3.00e-04 | 1383.3s
  Step 5000/750000 | Loss: 0.321541 | LR: 3.00e-04 | 1487.4s
  Step 5500/750000 | Loss: 0.315584 | LR: 3.00e-04 | 1590.0s
  Step 6000/750000 | Loss: 0.310316 | LR: 3.00e-04 | 1694.3s
  Step 6500/750000 | Loss: 0.306688 | LR: 3.00e-04 | 1798.6s
  Step 7000/750000 | Loss: 0.303948 | LR: 3.00e-04 | 1905.8s
  Step 7500/750000 | Loss: 0.301084 | LR: 3.00e-04 | 2011.3s
  Step 8000/750000 | Loss: 0.295307 | LR: 3.00e-04 | 2117.9s
  Step 8500/750000 | Loss: 0.294126 | LR: 3.00e-04 | 2227.2s
  Step 9000/750000 | Loss: 0.289067 | LR: 3.00e-04 | 2335.7s
  Step 9500/750000 | Loss: 0.285230 | LR: 3.00e-04 | 2443.8s
  Step 10000/750000 | Loss: 0.284024 | LR: 3.00e-04 | 2553.1s
  Step 10500/750000 | Loss: 0.278643 | LR: 3.00e-04 | 2663.6s
  Step 11000/750000 | Loss: 0.276646 | LR: 3.00e-04 | 2771.1s
  Step 11500/750000 | Loss: 0.272662 | LR: 3.00e-04 | 2876.1s
  Step 12000/750000 | Loss: 0.270895 | LR: 3.00e-04 | 2982.7s
  Step 12500/750000 | Loss: 0.266130 | LR: 3.00e-04 | 3090.7s
  Step 13000/750000 | Loss: 0.264404 | LR: 3.00e-04 | 3199.0s
  Step 13500/750000 | Loss: 0.261666 | LR: 3.00e-04 | 3304.6s
  Step 14000/750000 | Loss: 0.260102 | LR: 3.00e-04 | 3410.0s
  Step 14500/750000 | Loss: 0.258084 | LR: 3.00e-04 | 3518.7s
  Step 15000/750000 | Loss: 0.250532 | LR: 3.00e-04 | 3627.2s
  Step 15500/750000 | Loss: 0.248416 | LR: 3.00e-04 | 3736.4s
  Step 16000/750000 | Loss: 0.246713 | LR: 3.00e-04 | 3840.5s
  Step 16500/750000 | Loss: 0.242159 | LR: 3.00e-04 | 3943.8s
  Step 17000/750000 | Loss: 0.239922 | LR: 3.00e-04 | 4047.7s
  Step 17500/750000 | Loss: 0.236725 | LR: 3.00e-04 | 4153.8s
  Step 18000/750000 | Loss: 0.237079 | LR: 3.00e-04 | 4260.7s
  Step 18500/750000 | Loss: 0.229729 | LR: 3.00e-04 | 4366.7s
  Step 19000/750000 | Loss: 0.234395 | LR: 3.00e-04 | 4475.8s
  Step 19500/750000 | Loss: 0.228329 | LR: 3.00e-04 | 4584.6s
  Step 20000/750000 | Loss: 0.230798 | LR: 2.99e-04 | 4696.4s
  Step 20500/750000 | Loss: 0.225687 | LR: 2.99e-04 | 4807.5s
  Step 21000/750000 | Loss: 0.226129 | LR: 2.99e-04 | 4916.9s
  Step 21500/750000 | Loss: 0.223308 | LR: 2.99e-04 | 5027.8s
  Step 22000/750000 | Loss: 0.218548 | LR: 2.99e-04 | 5138.8s
  Step 22500/750000 | Loss: 0.218798 | LR: 2.99e-04 | 5249.0s
  Step 23000/750000 | Loss: 0.216087 | LR: 2.99e-04 | 5358.7s
  Step 23500/750000 | Loss: 0.215106 | LR: 2.99e-04 | 5468.9s
  Step 24000/750000 | Loss: 0.211308 | LR: 2.99e-04 | 5578.7s
  Step 24500/750000 | Loss: 0.212256 | LR: 2.99e-04 | 5689.9s
  Step 25000/750000 | Loss: 0.205965 | LR: 2.99e-04 | 5801.5s
  [val] step 25000/750000 | held-out sampled-action MAE (ddim5): 0.24476
  Step 25500/750000 | Loss: 0.205037 | LR: 2.99e-04 | 5973.9s
  Step 26000/750000 | Loss: 0.203614 | LR: 2.99e-04 | 6081.9s
  Step 26500/750000 | Loss: 0.204066 | LR: 2.99e-04 | 6190.7s
  Step 27000/750000 | Loss: 0.201343 | LR: 2.99e-04 | 6302.3s
  Step 27500/750000 | Loss: 0.196879 | LR: 2.99e-04 | 6413.2s
  Step 28000/750000 | Loss: 0.196016 | LR: 2.99e-04 | 6523.2s
  Step 28500/750000 | Loss: 0.196391 | LR: 2.99e-04 | 6632.3s
  Step 29000/750000 | Loss: 0.194794 | LR: 2.99e-04 | 6743.1s
  Step 29500/750000 | Loss: 0.196043 | LR: 2.99e-04 | 6855.0s
  Step 30000/750000 | Loss: 0.193939 | LR: 2.99e-04 | 6966.8s
  Step 30500/750000 | Loss: 0.188458 | LR: 2.99e-04 | 7078.0s
  Step 31000/750000 | Loss: 0.189703 | LR: 2.99e-04 | 7188.0s
  Step 31500/750000 | Loss: 0.190435 | LR: 2.99e-04 | 7297.4s
  Step 32000/750000 | Loss: 0.186154 | LR: 2.99e-04 | 7407.2s
  Step 32500/750000 | Loss: 0.184286 | LR: 2.99e-04 | 7516.1s
  Step 33000/750000 | Loss: 0.184231 | LR: 2.99e-04 | 7625.8s
  Step 33500/750000 | Loss: 0.182772 | LR: 2.99e-04 | 7737.8s
  Step 34000/750000 | Loss: 0.184339 | LR: 2.98e-04 | 7849.2s
  Step 34500/750000 | Loss: 0.182626 | LR: 2.98e-04 | 7960.0s
  Step 35000/750000 | Loss: 0.181986 | LR: 2.98e-04 | 8071.1s
  Step 35500/750000 | Loss: 0.176810 | LR: 2.98e-04 | 8181.3s
  Step 36000/750000 | Loss: 0.178685 | LR: 2.98e-04 | 8291.7s
  Step 36500/750000 | Loss: 0.175716 | LR: 2.98e-04 | 8403.8s
  Step 37000/750000 | Loss: 0.180258 | LR: 2.98e-04 | 8514.5s
  Step 37500/750000 | Loss: 0.172278 | LR: 2.98e-04 | 8624.6s
  Step 38000/750000 | Loss: 0.173944 | LR: 2.98e-04 | 8733.6s
  Step 38500/750000 | Loss: 0.175850 | LR: 2.98e-04 | 8844.3s
  Step 39000/750000 | Loss: 0.171148 | LR: 2.98e-04 | 8953.7s
  Step 39500/750000 | Loss: 0.170017 | LR: 2.98e-04 | 9064.7s
  Step 40000/750000 | Loss: 0.169888 | LR: 2.98e-04 | 9176.4s
  Step 40500/750000 | Loss: 0.168267 | LR: 2.98e-04 | 9286.1s
  Step 41000/750000 | Loss: 0.166502 | LR: 2.98e-04 | 9397.0s
  Step 41500/750000 | Loss: 0.165449 | LR: 2.98e-04 | 9507.3s
  Step 42000/750000 | Loss: 0.165538 | LR: 2.98e-04 | 9615.7s
  Step 42500/750000 | Loss: 0.166265 | LR: 2.98e-04 | 9725.0s
  Step 43000/750000 | Loss: 0.162373 | LR: 2.98e-04 | 9834.5s
  Step 43500/750000 | Loss: 0.163429 | LR: 2.98e-04 | 9941.5s
  Step 44000/750000 | Loss: 0.163446 | LR: 2.97e-04 | 10050.0s
  Step 44500/750000 | Loss: 0.161031 | LR: 2.97e-04 | 10157.9s
  Step 45000/750000 | Loss: 0.162710 | LR: 2.97e-04 | 10266.7s
  Step 45500/750000 | Loss: 0.160260 | LR: 2.97e-04 | 10376.8s
  Step 46000/750000 | Loss: 0.162018 | LR: 2.97e-04 | 10484.2s
  Step 46500/750000 | Loss: 0.158164 | LR: 2.97e-04 | 10590.8s
  Step 47000/750000 | Loss: 0.158069 | LR: 2.97e-04 | 10697.0s
  Step 47500/750000 | Loss: 0.156108 | LR: 2.97e-04 | 10803.1s
  Step 48000/750000 | Loss: 0.154795 | LR: 2.97e-04 | 10909.9s
  Step 48500/750000 | Loss: 0.155615 | LR: 2.97e-04 | 11016.4s
  Step 49000/750000 | Loss: 0.155991 | LR: 2.97e-04 | 11122.8s
  Step 49500/750000 | Loss: 0.152224 | LR: 2.97e-04 | 11229.6s
  Step 50000/750000 | Loss: 0.151779 | LR: 2.97e-04 | 11336.5s
  [val] step 50000/750000 | held-out sampled-action MAE (ddim5): 0.24165
  Step 50500/750000 | Loss: 0.150348 | LR: 2.97e-04 | 11453.1s
  Step 51000/750000 | Loss: 0.151229 | LR: 2.97e-04 | 11559.6s
  Step 51500/750000 | Loss: 0.151617 | LR: 2.97e-04 | 11665.6s
  Step 52000/750000 | Loss: 0.150461 | LR: 2.96e-04 | 11771.9s
  Step 52500/750000 | Loss: 0.148911 | LR: 2.96e-04 | 11878.7s
  Step 53000/750000 | Loss: 0.147803 | LR: 2.96e-04 | 11985.8s
  Step 53500/750000 | Loss: 0.149333 | LR: 2.96e-04 | 12093.6s
  Step 54000/750000 | Loss: 0.147716 | LR: 2.96e-04 | 12201.1s
  Step 54500/750000 | Loss: 0.148675 | LR: 2.96e-04 | 12311.3s
  Step 55000/750000 | Loss: 0.147419 | LR: 2.96e-04 | 12422.9s
  Step 55500/750000 | Loss: 0.144681 | LR: 2.96e-04 | 12534.0s
  Step 56000/750000 | Loss: 0.144006 | LR: 2.96e-04 | 12645.7s
  Step 56500/750000 | Loss: 0.142654 | LR: 2.96e-04 | 12757.9s
  Step 57000/750000 | Loss: 0.145909 | LR: 2.96e-04 | 12871.8s
  Step 57500/750000 | Loss: 0.144050 | LR: 2.96e-04 | 12981.0s
  Step 58000/750000 | Loss: 0.142732 | LR: 2.96e-04 | 13089.3s
  Step 58500/750000 | Loss: 0.144145 | LR: 2.96e-04 | 13197.4s
  Step 59000/750000 | Loss: 0.139829 | LR: 2.95e-04 | 13303.3s
  Step 59500/750000 | Loss: 0.140402 | LR: 2.95e-04 | 13410.1s
  Step 60000/750000 | Loss: 0.141216 | LR: 2.95e-04 | 13517.0s
  Step 60500/750000 | Loss: 0.141514 | LR: 2.95e-04 | 13623.6s
  Step 61000/750000 | Loss: 0.136150 | LR: 2.95e-04 | 13730.1s
  Step 61500/750000 | Loss: 0.138429 | LR: 2.95e-04 | 13836.5s
  Step 62000/750000 | Loss: 0.137010 | LR: 2.95e-04 | 13942.6s
  Step 62500/750000 | Loss: 0.135557 | LR: 2.95e-04 | 14049.8s
  Step 63000/750000 | Loss: 0.132999 | LR: 2.95e-04 | 14156.9s
  Step 63500/750000 | Loss: 0.137781 | LR: 2.95e-04 | 14263.9s
  Step 64000/750000 | Loss: 0.137844 | LR: 2.95e-04 | 14371.3s
  Step 64500/750000 | Loss: 0.135135 | LR: 2.95e-04 | 14478.0s
  Step 65000/750000 | Loss: 0.134396 | LR: 2.94e-04 | 14584.5s
