==========================================
Batch:   pushtWidowXdpCam1_resnet350k
Tag:     001
Node:    a02-01
JobId:   10590752
Start:   Sat Jul 25 22:18:16 PDT 2026
==========================================
Dataset:    /home1/halbertb/Q3CIBC/data/pusht_widowx_data.zip  (format=zarr_video)
Seed:       11   tag=e01_resnet18_s11_350k
Pred type:  v
Idle filter:drop_zero (eps=0.0)
Config:     /home1/halbertb/Q3CIBC/checkpoints/pusht_real_dp/e01_resnet18_s11_350k/config.json
Checkpoints:/home1/halbertb/Q3CIBC/checkpoints/pusht_real_dp/e01_resnet18_s11_350k
PushTWidowXVideoDataset: 150 episodes, 72988 frames, cameras=[1], frame_stack=2, action_chunk=1, action_shape=2, state_shape=(6, 240, 320), raw action range=[-0.008 -0.008] -> [0.008 0.008]
  split=train (15/150 episodes held out); idle_filter='drop_zero' -> 49981/72988 transitions kept (68.5%); zero-action share now 0.0%
PushTWidowXVideoDataset: 150 episodes, 72988 frames, cameras=[1], frame_stack=2, action_chunk=1, action_shape=2, state_shape=(6, 240, 320), raw action range=[-0.008 -0.008] -> [0.008 0.008]
  split=val (15/150 episodes held out); idle_filter='drop_zero' -> 5440/72988 transitions kept (7.5%); zero-action share now 0.0%
Held-out val: 5440 samples (10% of episodes, seed 0)
PixelDiffusionDenoiser (resnet18-imagenet x1cam + DenseResnet 1024x1, v-pred): 13,248,642 params
Training 350000 steps: batch=128, lr=0.0003 (cosine -> 1e-06), T=100 cosine, EMA 0.999
  Step 500/350000 | Loss: 0.414111 | LR: 3.00e-04 | 202.9s
  Step 1000/350000 | Loss: 0.292084 | LR: 3.00e-04 | 375.2s
  Step 1500/350000 | Loss: 0.258909 | LR: 3.00e-04 | 549.9s
  Step 2000/350000 | Loss: 0.232708 | LR: 3.00e-04 | 720.6s
  Step 2500/350000 | Loss: 0.216138 | LR: 3.00e-04 | 893.0s
  Step 3000/350000 | Loss: 0.202359 | LR: 3.00e-04 | 1065.2s
  Step 3500/350000 | Loss: 0.190413 | LR: 3.00e-04 | 1237.8s
  Step 4000/350000 | Loss: 0.184213 | LR: 3.00e-04 | 1408.5s
  Step 4500/350000 | Loss: 0.178333 | LR: 3.00e-04 | 1579.0s
  Step 5000/350000 | Loss: 0.171031 | LR: 3.00e-04 | 1750.4s
  Step 5500/350000 | Loss: 0.165738 | LR: 3.00e-04 | 1924.3s
  Step 6000/350000 | Loss: 0.159573 | LR: 3.00e-04 | 2098.6s
  Step 6500/350000 | Loss: 0.156667 | LR: 3.00e-04 | 2271.8s
  Step 7000/350000 | Loss: 0.150814 | LR: 3.00e-04 | 2444.4s
  Step 7500/350000 | Loss: 0.144044 | LR: 3.00e-04 | 2619.0s
  Step 8000/350000 | Loss: 0.140913 | LR: 3.00e-04 | 2793.1s
  Step 8500/350000 | Loss: 0.137460 | LR: 3.00e-04 | 2966.0s
  Step 9000/350000 | Loss: 0.131420 | LR: 3.00e-04 | 3140.1s
  Step 9500/350000 | Loss: 0.126785 | LR: 2.99e-04 | 3308.6s
  Step 10000/350000 | Loss: 0.125311 | LR: 2.99e-04 | 3474.0s
  Step 10500/350000 | Loss: 0.122471 | LR: 2.99e-04 | 3639.9s
  Step 11000/350000 | Loss: 0.116762 | LR: 2.99e-04 | 3818.8s
  Step 11500/350000 | Loss: 0.114917 | LR: 2.99e-04 | 3999.1s
  Step 12000/350000 | Loss: 0.108346 | LR: 2.99e-04 | 4177.3s
  Step 12500/350000 | Loss: 0.106445 | LR: 2.99e-04 | 4354.0s
  Step 13000/350000 | Loss: 0.106932 | LR: 2.99e-04 | 4529.4s
