==========================================
Batch:   pushtWidowXdpCam1_resnet350k
Tag:     002
Node:    b05-10
JobId:   10590753
Start:   Sat Jul 25 23:39:32 PDT 2026
==========================================
Dataset:    /home1/halbertb/Q3CIBC/data/pusht_widowx_data.zip  (format=zarr_video)
Seed:       29   tag=e02_resnet18_s29_350k
Pred type:  v
Idle filter:drop_zero (eps=0.0)
Config:     /home1/halbertb/Q3CIBC/checkpoints/pusht_real_dp/e02_resnet18_s29_350k/config.json
Checkpoints:/home1/halbertb/Q3CIBC/checkpoints/pusht_real_dp/e02_resnet18_s29_350k
PushTWidowXVideoDataset: 150 episodes, 72988 frames, cameras=[1], frame_stack=2, action_chunk=1, action_shape=2, state_shape=(6, 240, 320), raw action range=[-0.008 -0.008] -> [0.008 0.008]
  split=train (15/150 episodes held out); idle_filter='drop_zero' -> 49981/72988 transitions kept (68.5%); zero-action share now 0.0%
PushTWidowXVideoDataset: 150 episodes, 72988 frames, cameras=[1], frame_stack=2, action_chunk=1, action_shape=2, state_shape=(6, 240, 320), raw action range=[-0.008 -0.008] -> [0.008 0.008]
  split=val (15/150 episodes held out); idle_filter='drop_zero' -> 5440/72988 transitions kept (7.5%); zero-action share now 0.0%
Held-out val: 5440 samples (10% of episodes, seed 0)
PixelDiffusionDenoiser (resnet18-imagenet x1cam + DenseResnet 1024x1, v-pred): 13,248,642 params
Training 350000 steps: batch=128, lr=0.0003 (cosine -> 1e-06), T=100 cosine, EMA 0.999
  Step 500/350000 | Loss: 0.409407 | LR: 3.00e-04 | 213.1s
  Step 1000/350000 | Loss: 0.287884 | LR: 3.00e-04 | 404.6s
  Step 1500/350000 | Loss: 0.251623 | LR: 3.00e-04 | 594.4s
  Step 2000/350000 | Loss: 0.225030 | LR: 3.00e-04 | 784.8s
  Step 2500/350000 | Loss: 0.212382 | LR: 3.00e-04 | 976.6s
  Step 3000/350000 | Loss: 0.201452 | LR: 3.00e-04 | 1170.3s
  Step 3500/350000 | Loss: 0.193711 | LR: 3.00e-04 | 1363.9s
  Step 4000/350000 | Loss: 0.183386 | LR: 3.00e-04 | 1556.3s
  Step 4500/350000 | Loss: 0.175574 | LR: 3.00e-04 | 1747.2s
  Step 5000/350000 | Loss: 0.173372 | LR: 3.00e-04 | 1934.2s
  Step 5500/350000 | Loss: 0.165965 | LR: 3.00e-04 | 2131.4s
  Step 6000/350000 | Loss: 0.158825 | LR: 3.00e-04 | 2327.0s
  Step 6500/350000 | Loss: 0.155479 | LR: 3.00e-04 | 2521.6s
  Step 7000/350000 | Loss: 0.151655 | LR: 3.00e-04 | 2717.5s
  Step 7500/350000 | Loss: 0.147357 | LR: 3.00e-04 | 2912.8s
  Step 8000/350000 | Loss: 0.143386 | LR: 3.00e-04 | 3109.4s
  Step 8500/350000 | Loss: 0.139700 | LR: 3.00e-04 | 3301.9s
  Step 9000/350000 | Loss: 0.134034 | LR: 3.00e-04 | 3496.8s
  Step 9500/350000 | Loss: 0.126296 | LR: 2.99e-04 | 3691.0s
  Step 10000/350000 | Loss: 0.127930 | LR: 2.99e-04 | 3884.4s
  Step 10500/350000 | Loss: 0.123494 | LR: 2.99e-04 | 4077.4s
  Step 11000/350000 | Loss: 0.118540 | LR: 2.99e-04 | 4271.0s
  Step 11500/350000 | Loss: 0.113209 | LR: 2.99e-04 | 4466.6s
  Step 12000/350000 | Loss: 0.112487 | LR: 2.99e-04 | 4663.4s
  Step 12500/350000 | Loss: 0.111156 | LR: 2.99e-04 | 4859.8s
  Step 13000/350000 | Loss: 0.104909 | LR: 2.99e-04 | 5055.4s
  Step 13500/350000 | Loss: 0.105171 | LR: 2.99e-04 | 5250.4s
  Step 14000/350000 | Loss: 0.103516 | LR: 2.99e-04 | 5441.0s
  Step 14500/350000 | Loss: 0.101022 | LR: 2.99e-04 | 5634.2s
  Step 15000/350000 | Loss: 0.098657 | LR: 2.99e-04 | 5830.0s
  Step 15500/350000 | Loss: 0.095737 | LR: 2.99e-04 | 6025.9s
  Step 16000/350000 | Loss: 0.094934 | LR: 2.98e-04 | 6221.6s
  Step 16500/350000 | Loss: 0.094861 | LR: 2.98e-04 | 6417.7s
  Step 17000/350000 | Loss: 0.093839 | LR: 2.98e-04 | 6612.8s
  Step 17500/350000 | Loss: 0.091711 | LR: 2.98e-04 | 6808.6s
  Step 18000/350000 | Loss: 0.092711 | LR: 2.98e-04 | 7004.7s
  Step 18500/350000 | Loss: 0.087984 | LR: 2.98e-04 | 7200.2s
  Step 19000/350000 | Loss: 0.085132 | LR: 2.98e-04 | 7395.9s
  Step 19500/350000 | Loss: 0.089524 | LR: 2.98e-04 | 7588.3s
  Step 20000/350000 | Loss: 0.084746 | LR: 2.98e-04 | 7785.8s
  Step 20500/350000 | Loss: 0.086123 | LR: 2.97e-04 | 7980.7s
  Step 21000/350000 | Loss: 0.084296 | LR: 2.97e-04 | 8173.7s
  Step 21500/350000 | Loss: 0.080647 | LR: 2.97e-04 | 8366.4s
  Step 22000/350000 | Loss: 0.083700 | LR: 2.97e-04 | 8560.6s
  Step 22500/350000 | Loss: 0.080491 | LR: 2.97e-04 | 8755.5s
  Step 23000/350000 | Loss: 0.081458 | LR: 2.97e-04 | 8950.9s
  Step 23500/350000 | Loss: 0.079637 | LR: 2.97e-04 | 9140.9s
  Step 24000/350000 | Loss: 0.078189 | LR: 2.97e-04 | 9313.8s
  Step 24500/350000 | Loss: 0.076532 | LR: 2.96e-04 | 9508.0s
