method,n_seeds,avg_tasks_completed,SEM,cross_seed_std,avg_reward,inference_time_mean_ms,inference_time_std_ms,inference_time_median_ms,inference_time_min_ms,inference_time_max_ms,timed_steps,seeds,trial_ids
Explicit BC MSE (paper arch 2048x8-dense; quality: paper-reported),3,1.7600,0.0400,0.0693,,0.9848,0.2143,0.8877,0.8325,1.9185,50,paper,paper
"Q3C CP-argmax (cp=200, resnet gen, no refinement)",4,2.2775,0.1738,0.3477,406.66,2.8634,0.9109,2.5650,2.3334,6.3738,50,"0,1,2,3","72,76,77,78"
"Q3C+Langevin 30+20 (cp=200, lr 0.1, faithful chain)",4,2.9500,0.1068,0.2137,497.98,164.5402,22.4385,159.3324,133.4405,226.4276,50,"0,1,2,3","66,67,68,71"
"Q3C+Langevin 50+30 (cp=200, lr 0.1, faithful chain)",4,3.2450,0.0670,0.1340,541.35,249.4372,41.5310,235.3202,199.7515,386.6485,50,"0,1,2,3","73,79,80,81"
"Q3C+Langevin 50+30 (cp=200, lr 0.05, faithful chain)",4,3.4125,0.0958,0.1916,560.46,254.5359,41.6881,239.9266,213.7719,383.5791,50,"0,1,2,3","83,87,96,97"
"Q3C+CP-DFO (cp=200, it5 std0.05 dec0.5)",1,2.2900,0.0000,0.0000,420.42,14.1033,2.6526,13.6871,10.8722,23.2773,50,0,82
IBC full-faithful Langevin (100+100 iters x 512 samples),4,3.0525,0.0225,0.0450,485.60,1026.1146,27.4929,1014.6004,1000.2244,1121.2076,50,"0,1,2,3","20,21,24,25"
"DP + DDPM (100 steps, eps, resnet 512x4)",3,2.4467,0.2359,0.4086,427.33,110.7775,19.6565,103.3135,86.8809,169.1579,50,"0,1,2","16,17,18"
"DP + DDIM (5 steps, eps, resnet 512x4)",3,2.6033,0.2969,0.5142,447.80,7.1950,2.4086,6.3645,5.3581,13.8888,50,"0,1,2","16,17,18"
"DP + DDIM (10 steps, eps, resnet 512x4)",3,2.6267,0.1157,0.2003,452.33,12.2341,1.6264,12.1457,10.2476,17.8363,50,"0,1,2","16,17,18"
"DP + DDIM (25 steps, eps, resnet 512x4)",3,2.5900,0.3099,0.5367,445.36,34.7373,6.4420,33.9093,24.6201,53.8090,50,"0,1,2","16,17,18"
IBC paper-reported EBM (official quality; faithful timing),3,3.3700,,,,1026.1146,27.4929,1014.6004,1000.2244,1121.2076,50,paper,paper
