method,success_rate_pct,success_rate_std_pct,num_seeds,denoiser_passes,scoring_evals,params_m,inference_time_ms,inference_time_median_ms
DP DDIM-10 (cloud=1),91.3,3.1,3,10,0,13.85,11.066,10.499
DP DDPM-100 (cloud=1),,,,100,0,13.85,48.263,47.822
dpq3c DDIM-10 (cloud=64 + Q),88.7,4.2,3,10,64,27.46,16.076,15.613
dpq3c DDPM-100 (cloud=64 + Q),,,,100,64,27.46,56.032,55.296
"Q3CIBC (film, scratch)",92.7,3.1,3,0,100,31.69,8.996,8.827
"BC-MSE (film, ImageNet)",95.8,0.7,3,0,0,12.53,5.391,5.161
IBC (DFO 2048x100),42.0,8.8,3,0,204800,13.61,110.248,109.936
Q3CIBC + Langevin-10,90.2,4.4,9,0,110,31.69,20.858,20.488
Q3CIBC + Langevin-25,92.4,2.8,9,0,125,31.69,37.981,37.411
Q3CIBC + Langevin-100,88.9,4.8,9,0,200,31.69,196.786,196.078
