algorithm,seed_dir,inference,refine_iters,start_position,trial,coverage_cam0,coverage_cam1,dist_centroid
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,langevin,5,top,0,0.3846,0.9736,26.68
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,langevin,5,top,1,0.9362,0.9586,6.26
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,langevin,5,top,2,0.9975,0.6456,32.29
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,langevin,5,top,3,0.9629,0.7608,19.82
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,langevin,5,top,4,0.6478,0.9371,26.21
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,langevin,10,top,0,0.7102,0.4211,72.42
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,langevin,10,top,1,0.4358,0.8379,105.13
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,langevin,10,top,2,0.9366,0.6222,33.16
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,langevin,20,top,0,0.9386,0.9685,4.63
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,langevin,20,top,1,0.2483,0.0275,226.04
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,langevin,20,top,2,0.5554,0.718,48.57
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,langevin,20,top,3,0.7482,0.787,44.5
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,langevin,50,top,0,0.8817,0.9808,5.5
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,langevin,50,top,1,0.6912,0.69,50.28
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,langevin,50,top,2,0.6705,0.9193,40.38
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,argmax,0,top,0,0.9033,0.9754,4.33
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,argmax,0,top,1,0.5727,0.3857,78.93
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,argmax,0,top,2,0.8033,0.922,16.6
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,argmax,0,top,3,0.7945,0.8803,22.74
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,dfo,5,top,0,0.9493,0.985,3.27
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,dfo,5,top,1,0.9741,0.9736,2.44
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,dfo,5,top,2,0.9411,0.9783,2.25
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,dfo,10,top,0,0.9046,0.9662,4.84
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,dfo,10,top,1,0.3847,0.6305,63.57
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,dfo,10,top,2,0.9594,0.9628,4.2
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,dfo,10,top,3,0.9109,0.9839,4.34
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,dfo,20,top,0,0.8455,0.4325,40.23
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,dfo,20,top,1,0.9474,0.9825,2.29
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,dfo,20,top,2,0.4461,0.7013,59.15
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,dfo,50,top,0,0.9072,0.9671,4.99
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,dfo,50,top,1,0.8219,0.419,57.81
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,dfo,50,top,2,0.6679,0.9384,41.77
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,dfo,50,top,3,0.2984,0.0897,147.4
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,dfo,50,top,4,0.5453,0.7821,51.54
