algorithm,seed_dir,inference,refine_iters,control_z,start_position,trial,device,n_infer,n_steps,exec_horizon,ms_per_infer_mean,ms_per_infer_median,ms_per_infer_p95,ms_per_infer_std,ms_first_infer,ms_per_step,infer_hz,net_evals_per_infer,gflops_per_infer,params_m
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,argmax,0,False,top_right,0,cpu,527,527,1,105.305,102.484,118.561,6.578,122.843,105.305,9.5,1,45.5091,28.1631
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,argmax,0,False,top_right,1,cpu,523,523,1,105.402,102.37,118.074,5.983,119.728,105.402,9.49,1,45.5091,28.1631
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,argmax,0,False,top_right,2,cpu,705,705,1,104.322,102.371,117.562,5.251,127.196,104.322,9.59,1,45.5091,28.1631
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,argmax,0,False,top_right,3,cpu,704,705,1,107.238,103.147,119.159,7.054,152.422,107.086,9.33,1,45.5091,28.1631
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,argmax,0,False,top_right,4,cpu,427,427,1,106.917,102.68,118.362,6.935,131.984,106.917,9.35,1,45.5091,28.1631
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,argmax,0,False,bottom_right,0,cpu,664,665,1,106.699,103.07,118.793,6.588,117.465,106.538,9.37,1,45.5091,28.1631
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,argmax,0,False,bottom_right,1,cpu,231,231,1,104.42,102.729,116.948,4.865,129.058,104.42,9.58,1,45.5091,28.1631
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,argmax,5,False,bottom_right,0,cpu,525,526,1,108.154,103.55,119.233,7.076,137.775,107.948,9.25,1.0,45.5091,28.1631
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,argmax,5,False,bottom_right,0,cpu,900,900,1,105.98,103.394,118.139,6.52,118.978,105.98,9.44,1.356,45.5091,28.1631
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,argmax,5,False,bottom_right,1,cpu,135,136,1,108.842,106.399,120.682,7.159,121.437,108.042,9.19,1.704,45.5091,28.1631
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,argmax,5,False,bottom_right,2,cpu,317,317,1,106.002,102.984,119.983,6.76,117.161,106.002,9.43,1.615,45.5091,28.1631
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,argmax,5,False,bottom_right,2,cpu,900,900,1,108.409,106.128,122.817,7.27,124.043,108.409,9.22,3.128,45.5091,28.1631
q3c,/home/liralab-widowx/Q3CIBC/checkpoints/2026_07/L2c_ch16_scratch,argmax,5,False,bottom,0,cpu,631,632,1,108.12,104.683,121.261,7.273,178.961,107.949,9.25,1.951,45.5091,28.1631
