algorithm,inference,refine_iters,ms_per_step,n_timing_runs,metric,mean,sem,n_rollouts
bc,deterministic,0,5.31,22,cam1,0.7113,0.0408,23
dp,ddim,5,5.44,20,cam1,0.6098,0.0498,23
dp,ddim,10,6.41,20,cam1,0.7548,0.0466,20
dp,ddim,25,9.32,25,cam1,0.7466,0.0454,21
dp,ddpm,100,17.33,23,cam1,0.7361,0.0493,18
ibc,dfo,5,8.25,9,cam1,0.7809,0.0467,28
ibc,dfo,10,11.24,32,cam1,0.7831,0.048,28
ibc,dfo,25,20.13,23,cam1,0.6932,0.0686,18
q3c,argmax,0,10.9,2,cam1,0.6058,0.0358,29
q3c,argmax_fallback,5,7.09,5,cam1,0.806,0.0443,24
q3c,dfo,5,11.44,2,cam1,0.759,0.0402,37
q3c,dfo,10,11.87,2,cam1,0.7836,0.0376,37
