algorithm,inference,refine_iters,exec_horizon,checkpoint,ms_per_step,n_timing_runs,metric,mean,sem,n_rollouts,n_positions,plotted
bc,deterministic,0,1,BC2c_ch16,5.31,21,cam1,0.7128,0.0655,21,8,yes
bc,deterministic,0,2,BC2c_ch16,2.67,19,cam1,0.6655,0.056,18,8,yes
bc,deterministic,0,4,BC2c_ch16,1.33,18,cam1,0.6196,0.0715,16,8,yes
bc,deterministic,0,8,BC2c_ch16,0.67,19,cam1,0.7082,0.0462,17,8,yes
dp,ddim,5,1,i02_resnet18_2cam_k16_s29_175k,5.44,20,cam1,0.6576,0.0859,20,8,yes
dp,ddim,5,2,i02_resnet18_2cam_k16_s29_175k,2.74,17,cam1,0.6727,0.0784,18,8,yes
dp,ddim,5,4,i02_resnet18_2cam_k16_s29_175k,1.38,16,cam1,0.624,0.0942,17,8,yes
dp,ddim,5,8,i02_resnet18_2cam_k16_s29_175k,0.69,14,cam1,0.613,0.0881,17,8,yes
dp,ddim,10,1,i02_resnet18_2cam_k16_s29_175k,6.41,20,cam1,0.7898,0.0555,18,8,yes
dp,ddim,10,2,i02_resnet18_2cam_k16_s29_175k,3.24,19,cam1,0.7284,0.0699,17,8,yes
dp,ddim,10,4,i02_resnet18_2cam_k16_s29_175k,1.65,17,cam1,0.7642,0.0612,16,8,yes
dp,ddim,10,8,i02_resnet18_2cam_k16_s29_175k,0.81,15,cam1,0.7589,0.0559,16,8,yes
dp,ddim,25,1,i02_resnet18_2cam_k16_s29_175k,9.32,25,cam1,0.7946,0.0591,19,8,yes
dp,ddim,25,2,i02_resnet18_2cam_k16_s29_175k,4.75,24,cam1,0.7845,0.0509,18,8,yes
dp,ddim,25,4,i02_resnet18_2cam_k16_s29_175k,2.36,17,cam1,0.7619,0.0493,17,8,yes
dp,ddim,25,8,i02_resnet18_2cam_k16_s29_175k,1.2,17,cam1,0.7381,0.0523,17,8,yes
dp,ddpm,100,1,i02_resnet18_2cam_k16_s29_175k,17.33,23,cam1,0.7871,0.0552,16,8,yes
dp,ddpm,100,2,i02_resnet18_2cam_k16_s29_175k,8.88,18,cam1,0.7749,0.0522,16,8,yes
dp,ddpm,100,4,i02_resnet18_2cam_k16_s29_175k,4.46,18,cam1,0.795,0.054,16,8,yes
dp,ddpm,100,8,i02_resnet18_2cam_k16_s29_175k,2.23,15,cam1,0.7274,0.0509,16,8,yes
ibc,dfo,5,1,Ibc2c16_c256_imnet,8.25,7,cam1,0.9591,0.0,3,1,
ibc,dfo,5,2,Ibc2c16_c256_imnet,4.13,28,cam1,0.673,0.0881,19,8,yes
ibc,dfo,5,4,Ibc2c16_c256_imnet,2.08,26,cam1,0.452,0.1035,20,8,yes
ibc,dfo,5,8,Ibc2c16_c256_imnet,1.05,25,cam1,0.4032,0.0827,22,8,yes
q3c,argmax,0,1,S02_shared_k16_s29,10.33,19,cam1,0.8788,0.0511,16,8,yes
q3c,argmax,0,2,S02_shared_k16_s29,5.18,19,cam1,0.877,0.0513,19,8,yes
q3c,argmax,0,4,S02_shared_k16_s29,2.6,15,cam1,0.8101,0.0743,17,8,yes
q3c,argmax,0,8,S02_shared_k16_s29,1.3,15,cam1,0.7796,0.0586,16,8,yes
q3c,argmax_fallback,5,1,S02_shared_k16_s29,10.65,21,cam1,0.885,0.052,16,8,yes
q3c,argmax_fallback,5,2,S02_shared_k16_s29,5.27,19,cam1,0.8902,0.0534,17,8,yes
q3c,argmax_fallback,5,4,S02_shared_k16_s29,2.65,20,cam1,0.8675,0.0524,16,8,yes
q3c,argmax_fallback,5,8,S02_shared_k16_s29,1.33,16,cam1,0.8499,0.0427,17,8,yes
q3c,dfo,5,1,S02_shared_k16_s29,10.72,16,cam1,0.8984,0.0514,16,8,yes
q3c,dfo,5,2,S02_shared_k16_s29,5.39,15,cam1,0.9094,0.0484,16,8,yes
q3c,dfo,5,4,S02_shared_k16_s29,2.71,18,cam1,0.8586,0.0529,17,8,yes
q3c,dfo,5,8,S02_shared_k16_s29,1.37,18,cam1,0.8071,0.0669,17,8,yes
ibc,dfo,5,1,Ibc2c_c256_imnet (borrowed by Ibc2c16_c256_imnet),8.27,2,cam1,0.738,0.0899,23,8,yes (spliced)
