algorithm,inference,refine_iters,exec_horizon,checkpoint,metric,mean,std,sem,n_positions,n_runs,eligible,is_best
dp,ddim,5,1,i02_resnet18_2cam_k16_s29_175k,avg_cov,0.6186,0.1868,,9,23,yes,
dp,ddim,5,2,i02_resnet18_2cam_k16_s29_175k,avg_cov,0.6531,0.1923,,9,20,yes,
dp,ddim,5,4,i02_resnet18_2cam_k16_s29_175k,avg_cov,0.6258,0.2064,,9,19,yes,
dp,ddim,5,8,i02_resnet18_2cam_k16_s29_175k,avg_cov,0.6177,0.2045,,9,19,yes,
dp,ddim,10,1,i02_resnet18_2cam_k16_s29_175k,avg_cov,0.7406,0.1724,,9,20,yes,
dp,ddim,10,2,i02_resnet18_2cam_k16_s29_175k,avg_cov,0.6832,0.1826,,9,19,yes,
dp,ddim,10,4,i02_resnet18_2cam_k16_s29_175k,avg_cov,0.7195,0.17,,9,18,yes,
dp,ddim,10,8,i02_resnet18_2cam_k16_s29_175k,avg_cov,0.7077,0.1727,,9,18,yes,
dp,ddim,25,1,i02_resnet18_2cam_k16_s29_175k,avg_cov,0.7367,0.173,,9,21,yes,
dp,ddim,25,2,i02_resnet18_2cam_k16_s29_175k,avg_cov,0.7449,0.1574,,9,20,yes,yes
dp,ddim,25,4,i02_resnet18_2cam_k16_s29_175k,avg_cov,0.7239,0.1411,,9,19,yes,
dp,ddim,25,8,i02_resnet18_2cam_k16_s29_175k,avg_cov,0.6992,0.1831,,9,19,yes,
dp,ddpm,100,1,i02_resnet18_2cam_k16_s29_175k,avg_cov,0.7368,0.1645,,9,18,yes,yes
dp,ddpm,100,2,i02_resnet18_2cam_k16_s29_175k,avg_cov,0.7255,0.1554,,9,18,yes,
dp,ddpm,100,4,i02_resnet18_2cam_k16_s29_175k,avg_cov,0.7312,0.1523,,9,18,yes,
dp,ddpm,100,8,i02_resnet18_2cam_k16_s29_175k,avg_cov,0.6742,0.167,,9,18,yes,
q3c,argmax,0,1,L1c_ch16_scratch|L2c_ch16_scratch,avg_cov,0.5828,0.203,,9,29,yes,yes
q3c,argmax_fallback,5,1,L2c_ch16_scratch|v2_pushingpixels_exact,avg_cov,0.7563,0.2247,,9,24,yes,
q3c,argmax_fallback,5,2,L2c_ch16_scratch,avg_cov,0.8288,0.1778,,9,20,yes,yes
q3c,argmax_fallback,5,4,L2c_ch16_scratch,avg_cov,0.7603,0.2561,,9,21,yes,
q3c,argmax_fallback,5,8,L2c_ch16_scratch,avg_cov,0.694,0.2382,,9,19,yes,
q3c,dfo,5,1,L1c_ch16_scratch|L2c_ch16_scratch,avg_cov,0.7219,0.2633,,9,37,yes,
q3c,dfo,10,1,L1c_ch16_scratch|L2c_ch16_scratch,avg_cov,0.7377,0.2336,,9,37,yes,yes
q3c,dfo,20,1,L2c_ch16_scratch,avg_cov,0.6944,0.1849,,5,16,,
q3c,dfo,50,1,L2c_ch16_scratch,avg_cov,0.6666,0.2246,,5,16,,
ibc,dfo,5,1,Ibc2c16_c256_imnet|Ibc2c_c256_imnet,avg_cov,0.7757,0.2432,,9,28,yes,
ibc,dfo,5,2,Ibc2c16_c256_imnet,avg_cov,0.6712,0.2425,,9,23,yes,
ibc,dfo,5,4,Ibc2c16_c256_imnet,avg_cov,0.4935,0.2961,,9,23,yes,
ibc,dfo,5,8,Ibc2c16_c256_imnet,avg_cov,0.4633,0.3667,,9,25,yes,
ibc,dfo,10,1,Ibc2c16_c256_imnet|Ibc2c_c256_imnet,avg_cov,0.7826,0.2409,,9,28,yes,yes
ibc,dfo,10,2,Ibc2c16_c256_imnet,avg_cov,0.7808,0.1853,,6,15,,
ibc,dfo,10,4,Ibc2c16_c256_imnet,avg_cov,0.6395,0.3452,,6,16,,
ibc,dfo,10,8,Ibc2c16_c256_imnet,avg_cov,0.4686,0.3302,,6,13,,
ibc,dfo,25,1,Ibc2c_c256_imnet,avg_cov,0.6557,0.2979,,9,18,yes,
bc,deterministic,0,1,BC2c_ch16,avg_cov,0.7062,0.1784,,9,23,yes,yes
bc,deterministic,0,2,BC2c_ch16,avg_cov,0.6506,0.1564,,9,20,yes,
bc,deterministic,0,4,BC2c_ch16,avg_cov,0.6234,0.1855,,9,18,yes,
bc,deterministic,0,8,BC2c_ch16,avg_cov,0.6885,0.1769,,9,19,yes,
