algorithm,inference,start_position,metric,mean,std,n_runs
dp,ddim,top,avg_cov,0.8934,0.0881,28
dp,ddim,bottom,avg_cov,0.7316,0.1998,18
dp,ddim,left,avg_cov,0.8188,0.1652,6
dp,ddim,right,avg_cov,0.5458,0.0033,11
dp,ddim,top_right,avg_cov,0.4929,0.2471,15
dp,ddim,bottom_right,avg_cov,0.8197,0.1925,9
dp,ddim,turned_left,avg_cov,0.7789,0.1008,6
dp,ddim,turned_right,avg_cov,0.6301,0.1604,5
dp,ddim,upside_down,avg_cov,0.3972,0.0783,3
q3c,argmax,top,avg_cov,0.7796,0.2049,4
q3c,argmax,bottom,avg_cov,0.4588,0.1946,7
q3c,argmax,left,avg_cov,0.6846,0.0282,2
q3c,argmax,right,avg_cov,0.4087,0.106,2
q3c,argmax,top_right,avg_cov,0.5118,0.1293,2
q3c,argmax,bottom_right,avg_cov,0.3969,0.0519,2
q3c,argmax,turned_left,avg_cov,0.7453,0.0053,3
q3c,argmax,turned_right,avg_cov,0.8386,0.0269,3
q3c,argmax,upside_down,avg_cov,0.4538,0.0276,4
q3c,argmax_fallback,top,avg_cov,0.9482,0.0284,10
q3c,argmax_fallback,bottom,avg_cov,0.8942,0.0723,9
q3c,argmax_fallback,left,avg_cov,0.8823,0.1351,8
q3c,argmax_fallback,right,avg_cov,0.4567,0.0327,10
q3c,argmax_fallback,top_right,avg_cov,0.8237,0.1865,10
q3c,argmax_fallback,bottom_right,avg_cov,0.877,0.0808,11
q3c,argmax_fallback,turned_left,avg_cov,0.7332,0.1041,9
q3c,argmax_fallback,turned_right,avg_cov,0.8528,0.089,9
q3c,argmax_fallback,upside_down,avg_cov,0.321,0.1623,8
q3c,dfo,top,avg_cov,0.7766,0.2342,15
q3c,dfo,bottom,avg_cov,0.7891,0.2644,16
q3c,dfo,left,avg_cov,0.9586,0.0158,12
q3c,dfo,right,avg_cov,0.476,0.053,16
q3c,dfo,top_right,avg_cov,0.9476,0.0402,5
q3c,dfo,bottom_right,avg_cov,0.8689,0.0961,7
q3c,dfo,turned_left,avg_cov,0.5894,0.0882,11
q3c,dfo,turned_right,avg_cov,0.819,0.1087,13
q3c,dfo,upside_down,avg_cov,0.4037,0.0798,11
q3c,langevin,top,avg_cov,0.7331,0.2026,15
q3c,langevin,bottom,avg_cov,0.6999,0.3389,15
q3c,langevin,right,avg_cov,0.444,0.0,1
q3c,langevin,turned_left,avg_cov,0.6316,0.0977,11
q3c,langevin,turned_right,avg_cov,0.6722,0.3849,13
q3c,langevin,upside_down,avg_cov,0.4229,0.081,12
ibc,dfo,top,avg_cov,0.8547,0.2047,31
ibc,dfo,bottom,avg_cov,0.666,0.2748,24
ibc,dfo,left,avg_cov,0.8342,0.2413,26
ibc,dfo,right,avg_cov,0.3921,0.2516,22
ibc,dfo,top_right,avg_cov,0.828,0.267,17
ibc,dfo,bottom_right,avg_cov,0.5636,0.2998,13
ibc,dfo,turned_left,avg_cov,0.4591,0.1524,20
ibc,dfo,turned_right,avg_cov,0.6867,0.2352,24
ibc,dfo,upside_down,avg_cov,0.1649,0.1285,12
bc,deterministic,top,avg_cov,0.8843,0.0453,9
bc,deterministic,bottom,avg_cov,0.7236,0.111,11
bc,deterministic,left,avg_cov,0.8246,0.0367,8
bc,deterministic,right,avg_cov,0.4356,0.0182,8
bc,deterministic,top_right,avg_cov,0.5546,0.0671,9
bc,deterministic,bottom_right,avg_cov,0.5598,0.2783,10
bc,deterministic,turned_left,avg_cov,0.6745,0.0611,8
bc,deterministic,turned_right,avg_cov,0.7832,0.0245,8
bc,deterministic,upside_down,avg_cov,0.6119,0.0364,9
