algorithm,inference,refine_iters,exec_horizon,checkpoint,metric,mean,std,sem,n_positions,n_runs,eligible,is_best
dp,ddim,5,1,g01_resnet18_s11_350k|h01_resnet18_k16_s11_350k,cam1,0.6416,0.269,,9,23,yes,
dp,ddim,5,2,h01_resnet18_k16_s11_350k,cam1,0.8793,0.1618,,2,5,,
dp,ddim,5,4,h01_resnet18_k16_s11_350k,cam1,0.8921,0.0892,,2,6,,
dp,ddim,5,8,h01_resnet18_k16_s11_350k,cam1,0.7089,0.2666,,2,5,,
dp,ddim,10,1,g01_resnet18_s11_350k|h01_resnet18_k16_s11_350k,cam1,0.6762,0.2701,,9,22,yes,yes
dp,ddim,10,2,h01_resnet18_k16_s11_350k,cam1,0.9506,0.038,,1,2,,
dp,ddim,10,4,h01_resnet18_k16_s11_350k,cam1,0.9522,0.0265,,1,2,,
dp,ddim,10,8,h01_resnet18_k16_s11_350k,cam1,0.9701,0.0051,,1,2,,
dp,ddim,25,1,g01_resnet18_s11_350k|g03_conv_s11_750k|h01_resnet18_k16_s11_350k,cam1,0.6658,0.2585,,9,28,yes,
dp,ddim,25,2,h01_resnet18_k16_s11_350k,cam1,0.9647,0.0021,,1,2,,
dp,ddim,25,4,h01_resnet18_k16_s11_350k,cam1,0.9568,0.0126,,1,2,,
dp,ddim,25,8,h01_resnet18_k16_s11_350k,cam1,0.9007,0.0692,,1,2,,
q3c,argmax,0,1,L1c_ch16_scratch|L2c_ch16_scratch,cam1,0.6058,0.1929,,9,29,yes,yes
q3c,argmax_fallback,5,1,L2c_ch16_scratch|v2_pushingpixels_exact,cam1,0.806,0.2173,,9,24,yes,
q3c,argmax_fallback,5,2,L2c_ch16_scratch,cam1,0.8479,0.1854,,9,20,yes,yes
q3c,argmax_fallback,5,4,L2c_ch16_scratch,cam1,0.7904,0.2499,,9,21,yes,
q3c,argmax_fallback,5,8,L2c_ch16_scratch,cam1,0.7134,0.2616,,9,19,yes,
q3c,dfo,5,1,L1c_ch16_scratch|L2c_ch16_scratch,cam1,0.759,0.2448,,9,37,yes,
q3c,dfo,10,1,L1c_ch16_scratch|L2c_ch16_scratch,cam1,0.7836,0.2286,,9,37,yes,yes
q3c,dfo,20,1,L2c_ch16_scratch,cam1,0.7234,0.2045,,5,16,,
q3c,dfo,50,1,L2c_ch16_scratch,cam1,0.7094,0.2554,,5,16,,
ibc,dfo,5,1,Ibc2c16_c256_imnet|Ibc2c_c256_imnet,cam1,0.7809,0.247,,9,28,yes,
ibc,dfo,5,2,Ibc2c16_c256_imnet,cam1,0.6549,0.2695,,9,23,yes,
ibc,dfo,5,4,Ibc2c16_c256_imnet,cam1,0.4815,0.3013,,9,23,yes,
ibc,dfo,5,8,Ibc2c16_c256_imnet,cam1,0.4437,0.3785,,9,25,yes,
ibc,dfo,10,1,Ibc2c16_c256_imnet|Ibc2c_c256_imnet,cam1,0.7831,0.2541,,9,28,yes,yes
ibc,dfo,10,2,Ibc2c16_c256_imnet,cam1,0.7448,0.2094,,6,15,,
ibc,dfo,10,4,Ibc2c16_c256_imnet,cam1,0.6111,0.3684,,6,16,,
ibc,dfo,10,8,Ibc2c16_c256_imnet,cam1,0.4313,0.3454,,6,13,,
ibc,dfo,25,1,Ibc2c_c256_imnet,cam1,0.6932,0.2911,,9,18,yes,
bc,deterministic,0,1,BC2c_ch16,cam1,0.7113,0.1957,,9,23,yes,yes
bc,deterministic,0,2,BC2c_ch16,cam1,0.6543,0.1683,,9,20,yes,
bc,deterministic,0,4,BC2c_ch16,cam1,0.6194,0.1816,,9,18,yes,
bc,deterministic,0,8,BC2c_ch16,cam1,0.6935,0.1711,,9,19,yes,
