algorithm,inference,start_position,refine_iters,exec_horizon,checkpoint,metric,mean,std,n_trials,is_best
dp,ddim,top,5,1,g01_resnet18_s11_350k|h01_resnet18_k16_s11_350k,cam1,0.956,0.0199,3,
dp,ddim,top,5,2,h01_resnet18_k16_s11_350k,cam1,0.8227,0.2007,3,
dp,ddim,top,5,4,h01_resnet18_k16_s11_350k,cam1,0.9443,0.015,2,
dp,ddim,top,5,8,h01_resnet18_k16_s11_350k,cam1,0.9274,0.0151,2,
dp,ddim,top,10,1,g01_resnet18_s11_350k|h01_resnet18_k16_s11_350k,cam1,0.9642,0.0063,3,
dp,ddim,top,10,2,h01_resnet18_k16_s11_350k,cam1,0.9506,0.038,2,
dp,ddim,top,10,4,h01_resnet18_k16_s11_350k,cam1,0.9522,0.0265,2,
dp,ddim,top,10,8,h01_resnet18_k16_s11_350k,cam1,0.9701,0.0051,2,yes
dp,ddim,top,25,1,g01_resnet18_s11_350k|h01_resnet18_k16_s11_350k,cam1,0.948,0.0333,3,
dp,ddim,top,25,2,h01_resnet18_k16_s11_350k,cam1,0.9647,0.0021,2,
dp,ddim,top,25,4,h01_resnet18_k16_s11_350k,cam1,0.9568,0.0126,2,
dp,ddim,top,25,8,h01_resnet18_k16_s11_350k,cam1,0.9007,0.0692,2,
dp,ddim,bottom,5,1,g01_resnet18_s11_350k|h01_resnet18_k16_s11_350k,cam1,0.7038,0.2678,3,
dp,ddim,bottom,5,2,h01_resnet18_k16_s11_350k,cam1,0.9643,0.0086,2,yes
dp,ddim,bottom,5,4,h01_resnet18_k16_s11_350k,cam1,0.866,0.1022,4,
dp,ddim,bottom,5,8,h01_resnet18_k16_s11_350k,cam1,0.5632,0.2498,3,
dp,ddim,bottom,10,1,g01_resnet18_s11_350k|h01_resnet18_k16_s11_350k,cam1,0.8936,0.0621,3,
dp,ddim,bottom,25,1,g01_resnet18_s11_350k|h01_resnet18_k16_s11_350k,cam1,0.88,0.0933,3,
dp,ddim,left,5,1,g01_resnet18_s11_350k,cam1,0.4929,0.4093,2,
dp,ddim,left,10,1,g01_resnet18_s11_350k,cam1,0.9619,0.0245,2,yes
dp,ddim,left,25,1,g01_resnet18_s11_350k,cam1,0.845,0.1039,2,
