algorithm,inference,start_position,metric,mean,std,n_runs
dp,ddim,top,min_cov,0.884,0.0671,3
dp,ddim,bottom,min_cov,0.9281,0.0106,3
dp,ddim,left,min_cov,0.7499,0.2764,6
dp,ddim,right,min_cov,0.5076,0.0045,11
dp,ddim,top_right,min_cov,0.4127,0.2774,15
dp,ddim,bottom_right,min_cov,0.7551,0.2036,9
dp,ddim,turned_left,min_cov,0.7554,0.1096,6
dp,ddim,turned_right,min_cov,0.5335,0.2776,5
dp,ddim,upside_down,min_cov,0.3435,0.0785,3
q3c,argmax,top,min_cov,0.7217,0.2294,4
q3c,argmax,bottom,min_cov,0.3774,0.2344,7
q3c,argmax,left,min_cov,0.4794,0.054,2
q3c,argmax,right,min_cov,0.2912,0.2344,2
q3c,argmax,top_right,min_cov,0.464,0.0636,2
q3c,argmax,bottom_right,min_cov,0.3098,0.0698,2
q3c,argmax,turned_left,min_cov,0.7421,0.005,3
q3c,argmax,turned_right,min_cov,0.7832,0.0558,3
q3c,argmax,upside_down,min_cov,0.438,0.0379,4
q3c,argmax_fallback,top,min_cov,0.9168,0.0562,8
q3c,argmax_fallback,bottom,min_cov,0.8181,0.1333,9
q3c,argmax_fallback,left,min_cov,0.8201,0.2357,8
q3c,argmax_fallback,right,min_cov,0.384,0.0558,10
q3c,argmax_fallback,top_right,min_cov,0.7587,0.2421,10
q3c,argmax_fallback,bottom_right,min_cov,0.827,0.1173,11
q3c,argmax_fallback,turned_left,min_cov,0.7199,0.1135,9
q3c,argmax_fallback,turned_right,min_cov,0.7934,0.1072,9
q3c,argmax_fallback,upside_down,min_cov,0.2963,0.1647,8
q3c,dfo,top,min_cov,0.6986,0.2884,15
q3c,dfo,bottom,min_cov,0.7157,0.2882,16
q3c,dfo,left,min_cov,0.9415,0.0224,12
q3c,dfo,right,min_cov,0.4143,0.1093,16
q3c,dfo,top_right,min_cov,0.9239,0.0568,5
q3c,dfo,bottom_right,min_cov,0.7965,0.1864,7
q3c,dfo,turned_left,min_cov,0.491,0.1594,11
q3c,dfo,turned_right,min_cov,0.7507,0.1263,13
q3c,dfo,upside_down,min_cov,0.3688,0.0757,11
q3c,langevin,top,min_cov,0.6244,0.2389,15
q3c,langevin,bottom,min_cov,0.66,0.3402,15
q3c,langevin,right,min_cov,0.3559,0.0,1
q3c,langevin,turned_left,min_cov,0.5538,0.1817,11
q3c,langevin,turned_right,min_cov,0.6111,0.3539,13
q3c,langevin,upside_down,min_cov,0.3847,0.0985,12
ibc,dfo,top,min_cov,0.7992,0.2434,21
ibc,dfo,bottom,min_cov,0.6028,0.3316,15
ibc,dfo,left,min_cov,0.7946,0.3199,15
ibc,dfo,right,min_cov,0.4076,0.2422,16
ibc,dfo,top_right,min_cov,0.7971,0.2789,17
ibc,dfo,bottom_right,min_cov,0.5006,0.3386,13
ibc,dfo,turned_left,min_cov,0.4232,0.1944,13
ibc,dfo,turned_right,min_cov,0.5721,0.2388,15
ibc,dfo,upside_down,min_cov,0.1276,0.0953,12
