algorithm,inference,start_position,refine_iters,exec_horizon,checkpoint,metric,mean,std,n_trials,is_best
dp,ddim,top,5,1,i02_resnet18_2cam_k16_s29_175k,dist,20.115,6.2155,2,
dp,ddim,top,5,2,i02_resnet18_2cam_k16_s29_175k,dist,10.35,5.8548,2,
dp,ddim,top,5,4,i02_resnet18_2cam_k16_s29_175k,dist,15.285,2.7082,2,
dp,ddim,top,5,8,i02_resnet18_2cam_k16_s29_175k,dist,21.505,3.981,2,
dp,ddim,top,10,1,i02_resnet18_2cam_k16_s29_175k,dist,7.62,5.2626,3,
dp,ddim,top,10,2,i02_resnet18_2cam_k16_s29_175k,dist,12.83,0.8344,2,
dp,ddim,top,10,4,i02_resnet18_2cam_k16_s29_175k,dist,15.235,3.7123,2,
dp,ddim,top,10,8,i02_resnet18_2cam_k16_s29_175k,dist,9.3,10.1399,2,
dp,ddim,top,25,1,i02_resnet18_2cam_k16_s29_175k,dist,12.7533,16.1576,3,
dp,ddim,top,25,2,i02_resnet18_2cam_k16_s29_175k,dist,2.75,1.8385,2,yes
dp,ddim,top,25,4,i02_resnet18_2cam_k16_s29_175k,dist,28.9267,11.314,3,
dp,ddim,top,25,8,i02_resnet18_2cam_k16_s29_175k,dist,20.89,4.3982,2,
dp,ddim,bottom,5,1,i02_resnet18_2cam_k16_s29_175k,dist,41.0567,11.0117,3,
dp,ddim,bottom,5,2,i02_resnet18_2cam_k16_s29_175k,dist,87.425,0.5728,2,
dp,ddim,bottom,5,4,i02_resnet18_2cam_k16_s29_175k,dist,104.65,14.4815,2,
dp,ddim,bottom,5,8,i02_resnet18_2cam_k16_s29_175k,dist,97.91,18.0878,2,
dp,ddim,bottom,10,1,i02_resnet18_2cam_k16_s29_175k,dist,25.1567,6.5918,3,
dp,ddim,bottom,10,2,i02_resnet18_2cam_k16_s29_175k,dist,19.33,0.0566,2,
dp,ddim,bottom,10,4,i02_resnet18_2cam_k16_s29_175k,dist,19.77,4.3558,2,
dp,ddim,bottom,10,8,i02_resnet18_2cam_k16_s29_175k,dist,18.38,0.8202,2,
dp,ddim,bottom,25,1,i02_resnet18_2cam_k16_s29_175k,dist,18.46,1.6688,2,
dp,ddim,bottom,25,2,i02_resnet18_2cam_k16_s29_175k,dist,16.315,0.2475,2,yes
dp,ddim,bottom,25,4,i02_resnet18_2cam_k16_s29_175k,dist,18.165,0.7283,2,
dp,ddim,bottom,25,8,i02_resnet18_2cam_k16_s29_175k,dist,18.72,1.2587,2,
dp,ddim,left,5,1,i02_resnet18_2cam_k16_s29_175k,dist,16.765,3.0052,2,yes
dp,ddim,left,5,2,i02_resnet18_2cam_k16_s29_175k,dist,22.13,1.5274,2,
dp,ddim,left,5,4,i02_resnet18_2cam_k16_s29_175k,dist,25.805,6.2862,2,
dp,ddim,left,5,8,i02_resnet18_2cam_k16_s29_175k,dist,30.265,3.387,2,
dp,ddim,left,10,1,i02_resnet18_2cam_k16_s29_175k,dist,18.415,3.7972,2,
dp,ddim,left,10,2,i02_resnet18_2cam_k16_s29_175k,dist,33.565,1.3506,2,
dp,ddim,left,10,4,i02_resnet18_2cam_k16_s29_175k,dist,32.21,1.8809,2,
dp,ddim,left,10,8,i02_resnet18_2cam_k16_s29_175k,dist,26.79,15.0048,2,
dp,ddim,left,25,1,i02_resnet18_2cam_k16_s29_175k,dist,16.83,0.3677,2,
dp,ddim,left,25,2,i02_resnet18_2cam_k16_s29_175k,dist,27.0,5.8101,3,
dp,ddim,left,25,4,i02_resnet18_2cam_k16_s29_175k,dist,32.785,0.1768,2,
dp,ddim,left,25,8,i02_resnet18_2cam_k16_s29_175k,dist,32.405,0.997,2,
