env,sampler,nfe,ms_mean,ms_median,ms_std,params_m,device
particle_2d,student,1,0.934,0.874,0.206,1.925,cuda
particle_2d,chain3,3,2.6,2.517,0.3,1.925,cuda
particle_2d,teacher,158,120.365,119.803,3.956,1.794,cuda
particle_16d,student,1,0.901,0.863,0.119,2.068,cuda
particle_16d,chain3,3,2.588,2.494,0.309,2.068,cuda
particle_16d,teacher,158,117.785,119.073,5.865,1.937,cuda
pen,student,1,1.126,1.083,0.166,2.018,cuda
pen,chain3,3,3.282,3.156,0.46,2.018,cuda
pen,teacher,158,141.451,141.509,9.47,1.952,cuda
kitchen,student,1,1.197,1.161,0.14,2.257,cuda
kitchen,chain3,3,3.368,3.252,0.334,2.257,cuda
kitchen,teacher,158,156.749,156.061,5.783,2.192,cuda
pushing,student,1,1.121,1.084,0.134,0.168,cuda
pushing,chain3,3,3.192,3.109,0.336,0.168,cuda
pushing,teacher,158,137.253,139.225,9.415,0.152,cuda
libero_goal_pixels,student,1,5.811,5.588,0.621,14.306,cuda
libero_goal_pixels,chain3,3,7.838,7.467,1.557,14.306,cuda
libero_goal_pixels,teacher,158,136.521,131.456,15.527,14.175,cuda
pushing_pixels,student,1,1.574,1.44,0.369,2.56,cuda
pushing_pixels,chain3,3,3.568,3.334,0.791,2.56,cuda
pushing_pixels,teacher,158,142.065,135.954,25.553,2.429,cuda
