env,N,eval,ms_mean,ms_median,ms_std,params_m,device
particle,1,argmax,0.344,0.341,0.023,0.206,cuda
particle,2,argmax,0.503,0.414,0.184,0.21,cuda
particle,3,argmax,0.343,0.341,0.024,0.214,cuda
particle,5,argmax,0.364,0.35,0.073,0.223,cuda
particle,8,argmax,0.372,0.362,0.061,0.235,cuda
particle,10,argmax,0.338,0.33,0.05,0.243,cuda
particle,20,argmax,0.401,0.372,0.127,0.284,cuda
pen,1,argmax,1.595,1.516,0.331,3.823,cuda
pen,5,argmax,1.512,1.425,0.358,4.02,cuda
pen,20,argmax,1.652,1.489,0.492,4.759,cuda
pen,50,argmax,1.567,1.512,0.228,6.236,cuda
pen,100,argmax,1.502,1.41,0.289,8.699,cuda
pen,200,argmax,1.439,1.408,0.157,13.624,cuda
kitchen,1,argmax,1.78,1.664,0.397,4.274,cuda
kitchen,1,langevin50,115.672,113.959,6.501,4.274,cuda
kitchen,50,argmax,1.779,1.691,0.335,4.5,cuda
kitchen,50,langevin50,114.454,111.832,9.558,4.5,cuda
kitchen,100,argmax,1.786,1.689,0.278,4.731,cuda
kitchen,100,langevin50,109.723,107.9,6.918,4.731,cuda
kitchen,200,argmax,1.649,1.61,0.159,5.192,cuda
kitchen,200,langevin50,115.12,111.114,9.895,5.192,cuda
pushing_pixels,1,argmax,1.406,1.345,0.28,2.821,cuda
pushing_pixels,2,argmax,1.279,1.231,0.14,2.822,cuda
pushing_pixels,5,argmax,1.24,1.196,0.14,2.823,cuda
pushing_pixels,8,argmax,1.298,1.241,0.205,2.825,cuda
pushing_pixels,10,argmax,1.239,1.197,0.147,2.826,cuda
pushing_pixels,20,argmax,1.417,1.352,0.27,2.831,cuda
pushing_pixels,50,argmax,1.268,1.23,0.138,2.847,cuda
pushing_pixels,100,argmax,1.267,1.217,0.194,2.872,cuda
libero_goal_pixels,1,argmax,11.792,11.168,1.845,26.279,cuda
libero_goal_pixels,2,argmax,11.387,11.276,0.793,26.337,cuda
libero_goal_pixels,5,argmax,11.324,11.172,0.856,26.509,cuda
libero_goal_pixels,8,argmax,11.421,11.249,0.872,26.681,cuda
libero_goal_pixels,10,argmax,11.34,11.216,0.827,26.796,cuda
libero_goal_pixels,20,argmax,11.395,11.246,0.876,27.371,cuda
libero_goal_pixels,50,argmax,11.479,11.276,0.924,29.094,cuda
libero_goal_pixels,100,argmax,11.589,11.34,1.116,31.967,cuda
