env,N,eval,ms_mean,ms_median,ms_std,params_m,device
particle,1,argmax,0.576,0.619,0.136,0.206,cuda
particle,2,argmax,0.383,0.34,0.138,0.21,cuda
particle,5,argmax,0.35,0.332,0.081,0.223,cuda
particle,10,argmax,0.335,0.331,0.028,0.243,cuda
particle,20,argmax,0.391,0.357,0.095,0.284,cuda
particle,50,argmax,0.347,0.342,0.032,0.408,cuda
particle,100,argmax,0.332,0.332,0.016,0.613,cuda
particle,200,argmax,0.334,0.326,0.036,1.024,cuda
pen,1,argmax,1.527,1.398,0.436,3.749,cuda
pen,2,argmax,1.501,1.342,0.472,3.762,cuda
pen,5,argmax,1.403,1.34,0.27,3.799,cuda
pen,10,argmax,1.429,1.333,0.324,3.86,cuda
pen,20,argmax,1.477,1.388,0.394,3.983,cuda
pen,50,argmax,1.483,1.386,0.354,4.353,cuda
pen,100,argmax,1.444,1.399,0.191,4.968,cuda
pen,200,argmax,1.418,1.367,0.22,6.199,cuda
