==========================================
SLURM_JOB_ID = 7927048
SLURM_JOB_NODELIST = b18-18
TMPDIR = /tmp/SLURM_7927048
==========================================
2026-04-13 10:47:45.980535: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2026-04-13 10:47:48.227182: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI AVX512_BF16 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1776102474.562217 1521235 gpu_device.cc:2020] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 43489 MB memory:  -> device: 0, name: NVIDIA L40S, pci bus id: 0000:01:00.0, compute capability: 8.9
2026-04-13 10:47:54.779901: I tensorflow/core/kernels/data/tf_record_dataset_op.cc:390] TFRecordDataset `buffer_size` is unspecified, default to 262144
2026-04-13 10:47:55.515934: I tensorflow/core/framework/local_rendezvous.cc:407] Local rendezvous is aborting with status: OUT_OF_RANGE: End of sequence
2026-04-13 10:47:56.251843: I tensorflow/core/framework/local_rendezvous.cc:407] Local rendezvous is aborting with status: OUT_OF_RANGE: End of sequence
2026-04-13 10:47:57.724694: I tensorflow/core/framework/local_rendezvous.cc:407] Local rendezvous is aborting with status: OUT_OF_RANGE: End of sequence
2026-04-13 10:48:00.700335: I tensorflow/core/framework/local_rendezvous.cc:407] Local rendezvous is aborting with status: OUT_OF_RANGE: End of sequence

======================================================================
DFO Trial 26
======================================================================
Params: {
  "TRAINING_STEPS": 150000,
  "BATCH_SIZE": 512,
  "LEARNING_RATE": 0.001,
  "LR_DECAY_RATE": 0.99,
  "LR_DECAY_STEPS": 100,
  "NUM_COUNTER_EXAMPLES": 32,
  "LANGEVIN_TRAIN_ITERATIONS": 100,
  "LANGEVIN_STEPSIZE_INIT": 0.1,
  "LANGEVIN_STEPSIZE_FINAL": 1e-05,
  "LANGEVIN_STEPSIZE_POWER": 2.0,
  "LANGEVIN_NOISE_SCALE": 1.0,
  "LANGEVIN_DELTA_ACTION_CLIP": 0.1,
  "GRADIENT_MARGIN": 1.0,
  "SOFTMAX_TEMPERATURE": 0.5,
  "UNIFORM_BOUNDARY_BUFFER": 0.05,
  "HIDDEN_DIMS": [
    256,
    256
  ]
}

  Training (150000 steps)...
  Using device: cuda
  n_dim=8, action_dim=8, frame_stack=2
  Steps=150000, LR=0.001, Temp=0.5
  Counter-examples=32, Langevin iters=100
  Model: [256, 256], Grad margin=1.0
  Dataset size: 102000
  Step 500/150000 | Loss: 3.2994 (NCE: 3.2905, GP: 0.0089) | Acc: 0.084 | LR: 9.51e-04 | 23.7s
  Step 1000/150000 | Loss: 3.2224 (NCE: 3.2017, GP: 0.0207) | Acc: 0.068 | LR: 9.04e-04 | 46.6s
  Step 1500/150000 | Loss: 3.2161 (NCE: 3.1908, GP: 0.0253) | Acc: 0.088 | LR: 8.60e-04 | 68.6s
  Step 2000/150000 | Loss: 3.2264 (NCE: 3.2038, GP: 0.0225) | Acc: 0.189 | LR: 8.18e-04 | 88.9s
  Step 2500/150000 | Loss: 3.2427 (NCE: 3.2186, GP: 0.0241) | Acc: 0.400 | LR: 7.78e-04 | 109.3s
  Step 3000/150000 | Loss: 3.2479 (NCE: 3.2231, GP: 0.0248) | Acc: 0.598 | LR: 7.40e-04 | 129.7s
  Step 3500/150000 | Loss: 3.2605 (NCE: 3.2396, GP: 0.0210) | Acc: 0.326 | LR: 7.03e-04 | 151.7s
  Step 4000/150000 | Loss: 3.2366 (NCE: 3.2132, GP: 0.0233) | Acc: 0.639 | LR: 6.69e-04 | 174.3s
  Step 4500/150000 | Loss: 3.2382 (NCE: 3.2150, GP: 0.0231) | Acc: 0.658 | LR: 6.36e-04 | 196.8s
  Step 5000/150000 | Loss: 3.2272 (NCE: 3.2015, GP: 0.0257) | Acc: 0.635 | LR: 6.05e-04 | 219.4s
  Step 5500/150000 | Loss: 3.2267 (NCE: 3.2022, GP: 0.0244) | Acc: 0.629 | LR: 5.75e-04 | 242.0s
  Step 6000/150000 | Loss: 3.2245 (NCE: 3.2002, GP: 0.0243) | Acc: 0.844 | LR: 5.47e-04 | 264.6s
  Step 6500/150000 | Loss: 3.2137 (NCE: 3.1902, GP: 0.0235) | Acc: 0.885 | LR: 5.20e-04 | 285.4s
  Step 7000/150000 | Loss: 3.2200 (NCE: 3.1963, GP: 0.0236) | Acc: 0.867 | LR: 4.95e-04 | 305.8s
  Step 7500/150000 | Loss: 3.2161 (NCE: 3.1926, GP: 0.0235) | Acc: 0.834 | LR: 4.71e-04 | 326.2s
  Step 8000/150000 | Loss: 3.2490 (NCE: 3.2251, GP: 0.0239) | Acc: 0.676 | LR: 4.48e-04 | 346.7s
  Step 8500/150000 | Loss: 3.2325 (NCE: 3.2100, GP: 0.0225) | Acc: 0.848 | LR: 4.26e-04 | 367.1s
  Step 9000/150000 | Loss: 3.2139 (NCE: 3.1892, GP: 0.0248) | Acc: 0.877 | LR: 4.05e-04 | 387.5s
  Step 9500/150000 | Loss: 3.2295 (NCE: 3.2054, GP: 0.0241) | Acc: 0.908 | LR: 3.85e-04 | 408.1s
  Step 10000/150000 | Loss: 3.2203 (NCE: 3.1945, GP: 0.0258) | Acc: 0.869 | LR: 3.66e-04 | 428.4s
  Step 10500/150000 | Loss: 3.2134 (NCE: 3.1882, GP: 0.0252) | Acc: 0.867 | LR: 3.48e-04 | 448.7s
  Step 11000/150000 | Loss: 3.2384 (NCE: 3.2138, GP: 0.0247) | Acc: 0.842 | LR: 3.31e-04 | 469.1s
  Step 11500/150000 | Loss: 3.2301 (NCE: 3.2050, GP: 0.0251) | Acc: 0.951 | LR: 3.15e-04 | 489.5s
  Step 12000/150000 | Loss: 3.2222 (NCE: 3.1993, GP: 0.0230) | Acc: 0.912 | LR: 2.99e-04 | 509.8s
  Step 12500/150000 | Loss: 3.2240 (NCE: 3.2018, GP: 0.0222) | Acc: 0.865 | LR: 2.85e-04 | 530.2s
  Step 13000/150000 | Loss: 3.2311 (NCE: 3.2077, GP: 0.0234) | Acc: 0.875 | LR: 2.71e-04 | 550.5s
  Step 13500/150000 | Loss: 3.2237 (NCE: 3.2005, GP: 0.0233) | Acc: 0.955 | LR: 2.57e-04 | 570.9s
  Step 14000/150000 | Loss: 3.2343 (NCE: 3.2111, GP: 0.0232) | Acc: 0.920 | LR: 2.45e-04 | 591.2s
  Step 14500/150000 | Loss: 3.2268 (NCE: 3.2035, GP: 0.0233) | Acc: 0.922 | LR: 2.33e-04 | 611.5s
  Step 15000/150000 | Loss: 3.2373 (NCE: 3.2137, GP: 0.0236) | Acc: 0.928 | LR: 2.21e-04 | 632.0s
  Step 15500/150000 | Loss: 3.2257 (NCE: 3.2020, GP: 0.0237) | Acc: 0.938 | LR: 2.11e-04 | 652.3s
  Step 16000/150000 | Loss: 3.2333 (NCE: 3.2098, GP: 0.0236) | Acc: 0.949 | LR: 2.00e-04 | 672.7s
